Reported Date;Total Dead and Missing;Location Coordinates
Tue, 06/01/2021 - 12:00;1;31.3350096, 48.8702866
Tue, 06/01/2021 - 12:00;1;31.05124289, 61.50177317
Tue, 06/01/2021 - 12:00;1;30.27629382, 57.0662465
Tue, 06/01/2021 - 12:00;1;32.75695, -114.81583
Wed, 06/02/2021 - 12:00;2;33.13320662, 11.98298927
Wed, 06/02/2021 - 12:00;1;28.70601548, -100.5121682
Wed, 06/02/2021 - 12:00;52;27.93347104, -13.20495642
Wed, 06/02/2021 - 12:00;1;29.47645121, 60.86744515
Wed, 06/02/2021 - 12:00;1;34.03107046, 51.44519483
Thu, 06/03/2021 - 12:00;1;26.931274, -98.145864
Thu, 06/03/2021 - 12:00;1;32.008629, -111.747142
Thu, 06/03/2021 - 12:00;1;32.013413, -111.640399
Thu, 06/03/2021 - 12:00;67;33.01479981, 12.54897854
Thu, 06/03/2021 - 12:00;1;31.96625955, 54.75878479
Thu, 06/03/2021 - 12:00;1;31.96625955, 54.75878479
Thu, 06/03/2021 - 12:00;1;27.35022729, 62.35316592
Fri, 06/04/2021 - 12:00;1;32.817824, 12.450931
Fri, 06/04/2021 - 12:00;1;27.127334, -98.389507
Fri, 06/04/2021 - 12:00;1;28.70601548, -100.5121682
Fri, 06/04/2021 - 12:00;17;27.93347104, -13.20495642
Fri, 06/04/2021 - 12:00;1;30.27629382, 57.0662465
Sat, 06/05/2021 - 12:00;1;32.2700864, -111.8504635
Sat, 06/05/2021 - 12:00;1;31.4943, -109.217
Sat, 06/05/2021 - 12:00;1;27.2865905, 57.6697047
Sat, 06/05/2021 - 12:00;1;27.2865905, 57.6697047
Sat, 06/05/2021 - 12:00;1;28.72996721, 53.33652472
Sat, 06/05/2021 - 12:00;1;29.67778877, 52.52231927
Sat, 06/05/2021 - 12:00;1;31.05124289, 61.50177317
Sun, 06/06/2021 - 12:00;1;32.817824, 12.450931
Sun, 06/06/2021 - 12:00;1;8.463178375, -77.6973089
Sun, 06/06/2021 - 12:00;1;35.23669182, -3.92228062
Sun, 06/06/2021 - 12:00;1;31.58979734, -111.2393548
Sun, 06/06/2021 - 12:00;1;29.63186286, 52.51236196
Sun, 06/06/2021 - 12:00;1;28.53386105, 51.10083473
Sun, 06/06/2021 - 12:00;1;28.53386105, 51.10083473
Mon, 06/07/2021 - 12:00;1;44.82494358, 15.83615663
Mon, 06/07/2021 - 12:00;1;28.70601548, -100.5121682
Mon, 06/07/2021 - 12:00;1;31.57152368, -111.3711987
Mon, 06/07/2021 - 12:00;1;31.54269, -111.23446
Tue, 06/08/2021 - 12:00;1;28.86035777, -100.5900667
Tue, 06/08/2021 - 12:00;1;-22.86132167, -68.09857265
Tue, 06/08/2021 - 12:00;1;-22.91728654, -67.79674134
Tue, 06/08/2021 - 12:00;1;31.73991, -111.005163
Tue, 06/08/2021 - 12:00;1;32.72816, -112.00154
Wed, 06/09/2021 - 12:00;1;11.96414423, 43.28973237
Wed, 06/09/2021 - 12:00;1;26.20468876, -98.5008908
Wed, 06/09/2021 - 12:00;1;27.38965142, -99.49302361
Wed, 06/09/2021 - 12:00;1;31.05124289, 61.50177317
Wed, 06/09/2021 - 12:00;1;28.95046741, 57.57054013
Thu, 06/10/2021 - 12:00;1;31.785267, -106.554545
Thu, 06/10/2021 - 12:00;1;25.97777195, -97.51466326
Thu, 06/10/2021 - 12:00;1;27.35501854, -99.48372901
Thu, 06/10/2021 - 12:00;1;7.158230103, -73.09444462
Thu, 06/10/2021 - 12:00;1;32.05753115, -108.330251
Thu, 06/10/2021 - 12:00;1;31.05124289, 61.50177317
Thu, 06/10/2021 - 12:00;1;30.27629382, 57.0662465
Thu, 06/10/2021 - 12:00;1;28.95046741, 57.57054013
Fri, 06/11/2021 - 12:00;1;31.754475, -106.426
Fri, 06/11/2021 - 12:00;1;34.29823043, 11.45701073
Fri, 06/11/2021 - 12:00;2;26.96045723, -79.11501934
Fri, 06/11/2021 - 12:00;1;31.946783, -112.883883
Fri, 06/11/2021 - 12:00;1;28.86914706, 61.16275687
Fri, 06/11/2021 - 12:00;1;27.35022729, 62.35316592
Sat, 06/12/2021 - 12:00;3;20.87840169, 92.30923042
Sat, 06/12/2021 - 12:00;1;8.397944801, 47.93776988
Sat, 06/12/2021 - 12:00;1;31.73784, -111.07666
Sat, 06/12/2021 - 12:00;1;37.56427965, 44.95937698
Sat, 06/12/2021 - 12:00;1;29.63186286, 52.51236196
Sun, 06/13/2021 - 12:00;2;36.9389761, 11.10181266
Sun, 06/13/2021 - 12:00;1;20.87840169, 92.30923042
Sun, 06/13/2021 - 12:00;2;32.99993552, 11.98125712
Sun, 06/13/2021 - 12:00;1;28.69871512, -100.5102039
Sun, 06/13/2021 - 12:00;1;32.0884126, -107.4481688
Sun, 06/13/2021 - 12:00;1;32.49750617, -114.480166
Sun, 06/13/2021 - 12:00;1;32.45678168, -114.5297033
Sun, 06/13/2021 - 12:00;1;31.701283, -111.93755
Sun, 06/13/2021 - 12:00;1;31.40201, -110.76178
Sun, 06/13/2021 - 12:00;1;31.59423, -111.72823
Sun, 06/13/2021 - 12:00;1;27.1892535, 56.23307736
Sun, 06/13/2021 - 12:00;1;44.822678, 15.902896
Mon, 06/14/2021 - 12:00;2;20.87840169, 92.30923042
Mon, 06/14/2021 - 12:00;3;33.04659627, 12.55254212
Mon, 06/14/2021 - 12:00;30;12.60917091, 43.93431565
Mon, 06/14/2021 - 12:00;1;31.87598, -111.76411
Mon, 06/14/2021 - 12:00;1;31.73016, -112.16498
Mon, 06/14/2021 - 12:00;1;35.68940913, 51.38958967
Mon, 06/14/2021 - 12:00;1;27.21161534, 60.68482798
Tue, 06/15/2021 - 12:00;1;32.817824, 12.450931
Tue, 06/15/2021 - 12:00;1;35.87049967, -5.338425807
Tue, 06/15/2021 - 12:00;1;33.63174624, -7.709904705
Tue, 06/15/2021 - 12:00;1;41.70895577, 26.3584402
Tue, 06/15/2021 - 12:00;1;44.68659195, 16.07802428
Tue, 06/15/2021 - 12:00;1;-19.28209365, -68.61117155
Tue, 06/15/2021 - 12:00;1;27.47874782, -99.4792803
Tue, 06/15/2021 - 12:00;1;31.828, -111.35616
Tue, 06/15/2021 - 12:00;1;31.975733, -112.14945
Tue, 06/15/2021 - 12:00;1;27.35022729, 62.35316592
Wed, 06/16/2021 - 12:00;1;31.78721121, -106.5457835
Wed, 06/16/2021 - 12:00;1;31.80675321, -106.6199581
Wed, 06/16/2021 - 12:00;1;25.89925589, -97.49857221
Wed, 06/16/2021 - 12:00;1;9.426195864, -83.71262203
Wed, 06/16/2021 - 12:00;1;19.57885023, -98.31507222
Wed, 06/16/2021 - 12:00;1;32.7656389, -111.975583
Wed, 06/16/2021 - 12:00;1;29.63186286, 52.51236196
Thu, 06/17/2021 - 12:00;5;29.238504, -13.442276
Thu, 06/17/2021 - 12:00;1;11.14202647, 42.71494991
Thu, 06/17/2021 - 12:00;1;24.68244358, -14.87534885
Thu, 06/17/2021 - 12:00;1;19.60223231, -98.13436917
Thu, 06/17/2021 - 12:00;1;31.59371, -111.88175
Thu, 06/17/2021 - 12:00;1;31.6654, -111.856917
Thu, 06/17/2021 - 12:00;1;30.27629382, 57.0662465
Thu, 06/17/2021 - 12:00;1;28.91397523, 50.92710097
Thu, 06/17/2021 - 12:00;7;22.74041316, 5.619747032
Fri, 06/18/2021 - 12:00;1;31.87142, -111.67391
Sat, 06/19/2021 - 12:00;1;32.817824, 12.450931
Sat, 06/19/2021 - 12:00;1;33.46233163, -112.3520941
Sat, 06/19/2021 - 12:00;71;23.73506553, -16.0541794
Sat, 06/19/2021 - 12:00;1;17.92067186, -94.9330168
Sat, 06/19/2021 - 12:00;1;26.0987163, -98.27847646
Sat, 06/19/2021 - 12:00;1;17.47146346, -91.42477594
Sat, 06/19/2021 - 12:00;1;35.68940913, 51.38958967
Sat, 06/19/2021 - 12:00;1;31.96625955, 54.75878479
Sat, 06/19/2021 - 12:00;1;29.47645121, 60.86744515
Sat, 06/19/2021 - 12:00;1;32.78393, -116.11895
Sun, 06/20/2021 - 12:00;1;32.65816134, -115.4907367
Sun, 06/20/2021 - 12:00;1;18.11252672, -95.45622108
Sun, 06/20/2021 - 12:00;7;18.46615079, -83.56022847
Sun, 06/20/2021 - 12:00;1;31.384382, -110.975182
Sun, 06/20/2021 - 12:00;1;29.47645121, 60.86744515
Mon, 06/21/2021 - 12:00;1;31.842883, -112.139983
Mon, 06/21/2021 - 12:00;1;31.673833, -111.8814
Mon, 06/21/2021 - 12:00;1;31.625417, -111.11985
Mon, 06/21/2021 - 12:00;1;35.68940913, 51.38958967
Tue, 06/22/2021 - 12:00;2;29.23247989, -100.1366453
Tue, 06/22/2021 - 12:00;15;9.038525113, -76.33946531
Tue, 06/22/2021 - 12:00;1;31.365315, -110.102389
Tue, 06/22/2021 - 12:00;1;31.87844, -111.83726
Tue, 06/22/2021 - 12:00;1;32.20701, -111.27506
Tue, 06/22/2021 - 12:00;1;31.903966, -111.493689
Tue, 06/22/2021 - 12:00;1;37.56427965, 44.95937698
Wed, 06/23/2021 - 12:00;1;31.52076745, -104.482768
Wed, 06/23/2021 - 12:00;2;28.94451373, -100.3304508
Wed, 06/23/2021 - 12:00;2;27.5236535, -99.51220273
Thu, 06/24/2021 - 12:00;1;27.16606866, -15.58094782
Thu, 06/24/2021 - 12:00;1;32.817824, 12.450931
Thu, 06/24/2021 - 12:00;1;29.36995037, -101.0726338
Thu, 06/24/2021 - 12:00;1;31.69140966, -106.4265637
Thu, 06/24/2021 - 12:00;20;21.514388, -71.043143
Thu, 06/24/2021 - 12:00;1;31.8454, -111.3473
Thu, 06/24/2021 - 12:00;1;31.38989, -110.10595
Thu, 06/24/2021 - 12:00;1;32.25398987, 52.50577501
Thu, 06/24/2021 - 12:00;1;29.47645121, 60.86744515
Thu, 06/24/2021 - 12:00;1;29.47645121, 60.86744515
Thu, 06/24/2021 - 12:00;1;29.47645121, 60.86744515
Thu, 06/24/2021 - 12:00;1;29.1403563, 58.1782498
Fri, 06/25/2021 - 12:00;24;21.28937362, 0.999485158
Fri, 06/25/2021 - 12:00;1;32.20058324, -110.9037255
Fri, 06/25/2021 - 12:00;1;27.5236535, -99.51220273
Fri, 06/25/2021 - 12:00;1;31.63675, -111.51941
Fri, 06/25/2021 - 12:00;1;28.95046741, 57.57054013
Fri, 06/25/2021 - 12:00;1;28.91397523, 50.92710097
Fri, 06/25/2021 - 12:00;1;28.23007995, 61.19603687
Sat, 06/26/2021 - 12:00;1;32.94011015, 12.08667864
Sat, 06/26/2021 - 12:00;1;32.65485255, -116.2463698
Sat, 06/26/2021 - 12:00;1;28.6936675, -100.5106763
Sat, 06/26/2021 - 12:00;1;31.816233, -112.560717
Sat, 06/26/2021 - 12:00;46;33.01479981, 12.54897854
Sat, 06/26/2021 - 12:00;1;35.68940913, 51.38958967
Sun, 06/27/2021 - 12:00;1;26.3500742, -15.55680579
Sun, 06/27/2021 - 12:00;2;33.8134549, 11.03207887
Sun, 06/27/2021 - 12:00;40;26.1246968, -14.59550817
Sun, 06/27/2021 - 12:00;3;37.97424245, 42.64689044
Sun, 06/27/2021 - 12:00;1;30.52044183, -104.8739003
Sun, 06/27/2021 - 12:00;1;30.5787, -104.89828
Mon, 06/28/2021 - 12:00;2;27.65035716, -15.58204989
Mon, 06/28/2021 - 12:00;22;34.87695, 11.15669
Mon, 06/28/2021 - 12:00;1;17.17872459, -93.57205686
Mon, 06/28/2021 - 12:00;1;31.86785, -112.1309
Mon, 06/28/2021 - 12:00;1;31.67793, -111.85005
Mon, 06/28/2021 - 12:00;1;31.579227, -111.722799
Mon, 06/28/2021 - 12:00;1;30.89202146, 61.68389773
Tue, 06/29/2021 - 12:00;18;28.127946, -13.872245
Tue, 06/29/2021 - 12:00;1;45.03109, 16.35569
Tue, 06/29/2021 - 12:00;1;19.41460771, -98.13470713
Tue, 06/29/2021 - 12:00;1;32.40244, -113.13169
Tue, 06/29/2021 - 12:00;1;32.0577019, -112.1430215
Tue, 06/29/2021 - 12:00;1;32.59528, -111.99042
Tue, 06/29/2021 - 12:00;1;32.40244, -113.13169
Tue, 06/29/2021 - 12:00;1;32.213049, 54.079164
Tue, 06/29/2021 - 12:00;1;27.35022729, 62.35316592
Wed, 06/30/2021 - 12:00;16;35.42625723, 12.60431809
Wed, 06/30/2021 - 12:00;3;34.88019519, 10.67235167
Wed, 06/30/2021 - 12:00;2;45.526681, 14.920106
Wed, 06/30/2021 - 12:00;1;32.60582, -116.81832
Wed, 06/30/2021 - 12:00;10;34.71990251, 10.79592473
Wed, 06/30/2021 - 12:00;1;32.59735134, -116.7849622
Wed, 06/30/2021 - 12:00;17;36.03409952, 0.023477819
Wed, 06/30/2021 - 12:00;13;27.247328, -98.126699
Wed, 06/30/2021 - 12:00;1;32.0805, -113.272667
Wed, 06/30/2021 - 12:00;1;31.82985, -111.781767
Wed, 06/30/2021 - 12:00;1;31.60263689, -111.3146667
Wed, 06/30/2021 - 12:00;1;36.8127762, 59.0964723
Thu, 07/01/2021 - 12:00;5;34.88019519, 10.67235167
Thu, 07/01/2021 - 12:00;1;28.31588041, -100.3774898
Thu, 07/01/2021 - 12:00;11;36.6131885, 2.189831228
Thu, 07/01/2021 - 12:00;1;19.2683361, -68.63540398
Thu, 07/01/2021 - 12:00;1;32.25398987, 52.50577501
Thu, 07/01/2021 - 12:00;1;26.526372, 54.013255
Thu, 07/01/2021 - 12:00;1;25.305077, 60.657897
Thu, 07/01/2021 - 12:00;1;29.63186286, 52.51236196
Thu, 07/01/2021 - 12:00;1;27.1793466, 56.2781423
Thu, 07/01/2021 - 12:00;1;29.516516, 60.851173
Fri, 07/02/2021 - 12:00;2;32.79305271, 12.72579484
Fri, 07/02/2021 - 12:00;6;32.94011015, 12.08667864
Fri, 07/02/2021 - 12:00;8;32.79305271, 12.72579484
Fri, 07/02/2021 - 12:00;4;32.79305271, 12.72579484
Fri, 07/02/2021 - 12:00;1;27.50327832, -99.52799411
Fri, 07/02/2021 - 12:00;1;31.5835, -111.743167
Fri, 07/02/2021 - 12:00;1;27.673846, 54.312756
Fri, 07/02/2021 - 12:00;1;27.21161534, 60.68482798
Fri, 07/02/2021 - 12:00;1;27.35022729, 62.35316592
Sat, 07/03/2021 - 12:00;3;35.08259488, 10.99725328
Sat, 07/03/2021 - 12:00;1;35.733824, -0.85511
Sat, 07/03/2021 - 12:00;12;35.25755668, -3.909738195
Sat, 07/03/2021 - 12:00;37;33.51423538, 11.12653239
Sat, 07/03/2021 - 12:00;2;33.51423538, 11.12653239
Sat, 07/03/2021 - 12:00;14;34.71990251, 10.79592473
Sat, 07/03/2021 - 12:00;1;39.4519, -0.09907
Sat, 07/03/2021 - 12:00;1;31.05124289, 61.50177317
Sun, 07/04/2021 - 12:00;3;34.79575492, 10.85210783
Sun, 07/04/2021 - 12:00;7;32.79305271, 12.72579484
Sun, 07/04/2021 - 12:00;6;32.79305271, 12.72579484
Sun, 07/04/2021 - 12:00;4;34.71990251, 10.79592473
Sun, 07/04/2021 - 12:00;21;34.71990251, 10.79592473
Sun, 07/04/2021 - 12:00;1;11.3092574, 42.92740692
Sun, 07/04/2021 - 12:00;3;4.212583373, -74.99532582
Mon, 07/05/2021 - 12:00;2;32.94011015, 12.08667864
Mon, 07/05/2021 - 12:00;21;34.71990251, 10.79592473
Mon, 07/05/2021 - 12:00;9;24.279929, -81.5048832
Mon, 07/05/2021 - 12:00;1;28.91397523, 50.92710097
Tue, 07/06/2021 - 12:00;1;41.24895894, 26.35655359
Tue, 07/06/2021 - 12:00;1;32.796617, 12.752589
Tue, 07/06/2021 - 12:00;1;32.61612324, -115.8408434
Tue, 07/06/2021 - 12:00;2;18.11522379, -70.31819296
Tue, 07/06/2021 - 12:00;1;31.93265, -112.3656
Tue, 07/06/2021 - 12:00;1;31.791667, -111.953683
Tue, 07/06/2021 - 12:00;1;30.30573986, 56.00364259
Wed, 07/07/2021 - 12:00;8;36.55367, 1.123668
Wed, 07/07/2021 - 12:00;1;31.88472913, 54.33057395
Wed, 07/07/2021 - 12:00;1;32.718267, -114.888787
Thu, 07/08/2021 - 12:00;20;18.33941698, -68.94225284
Thu, 07/08/2021 - 12:00;1;31.62846, -111.803
Thu, 07/08/2021 - 12:00;1;31.906839, -111.839814
Thu, 07/08/2021 - 12:00;1;31.05124289, 61.50177317
Thu, 07/08/2021 - 12:00;1;30.27629382, 57.0662465
Fri, 07/09/2021 - 12:00;1;32.416533, -111.65485
Fri, 07/09/2021 - 12:00;1;30.27629382, 57.0662465
Fri, 07/09/2021 - 12:00;1;32.25398987, 52.50577501
Fri, 07/09/2021 - 12:00;1;32.6971, -116.08127
Fri, 07/09/2021 - 12:00;1;32.779775, -115.568425
Sat, 07/10/2021 - 12:00;8;34.71990251, 10.79592473
Sat, 07/10/2021 - 12:00;1;26.40729886, -99.04754947
Sat, 07/10/2021 - 12:00;1;31.3694, -110.09
Sat, 07/10/2021 - 12:00;1;27.35022729, 62.35316592
Sat, 07/10/2021 - 12:00;1;30.668333, 51.588056
Sun, 07/11/2021 - 12:00;11;38.99725095, 43.75997909
Sun, 07/11/2021 - 12:00;12;32.85868201, 12.2449859
Sun, 07/11/2021 - 12:00;3;32.85868201, 12.2449859
Sun, 07/11/2021 - 12:00;2;32.85868201, 12.2449859
Sun, 07/11/2021 - 12:00;1;19.17897262, -97.90315729
Sun, 07/11/2021 - 12:00;6;40.12453287, -102.7255099
Sun, 07/11/2021 - 12:00;1;30.27629382, 57.0662465
Mon, 07/12/2021 - 12:00;16;26.1141318, -14.50875258
Mon, 07/12/2021 - 12:00;1;31.5991, -111.73212
Mon, 07/12/2021 - 12:00;1;32.1105, -114.93214
Tue, 07/13/2021 - 12:00;1;31.49607, -109.32333
Tue, 07/13/2021 - 12:00;1;29.907916, 56.586928
Wed, 07/14/2021 - 12:00;3;34.74008415, 13.08897064
Wed, 07/14/2021 - 12:00;1;24.79530743, 34.50681773
Wed, 07/14/2021 - 12:00;1;27.63791754, -15.70822938
Wed, 07/14/2021 - 12:00;1;28.95046741, 57.57054013
Wed, 07/14/2021 - 12:00;22;36.07023884, 4.761893153
Thu, 07/15/2021 - 12:00;1;31.5115, -110.7475
Thu, 07/15/2021 - 12:00;1;35.68940913, 51.38958967
Thu, 07/15/2021 - 12:00;1;30.30573986, 56.00364259
Thu, 07/15/2021 - 12:00;1;27.190837, 60.479822
Thu, 07/15/2021 - 12:00;1;31.88472913, 54.33057395
Thu, 07/15/2021 - 12:00;1;29.63186286, 52.51236196
Thu, 07/15/2021 - 12:00;1;29.47645121, 60.86744515
Thu, 07/15/2021 - 12:00;1;30.30573986, 56.00364259
Fri, 07/16/2021 - 12:00;1;11.01191444, -74.81761458
Fri, 07/16/2021 - 12:00;1;31.705467, -111.882083
Fri, 07/16/2021 - 12:00;1;31.90575, -111.7615
Fri, 07/16/2021 - 12:00;1;31.59611, -109.49583
Fri, 07/16/2021 - 12:00;1;30.30573986, 56.00364259
Sat, 07/17/2021 - 12:00;1;26.03362, -97.742664
Sat, 07/17/2021 - 12:00;1;32.83925342, 13.00863512
Sat, 07/17/2021 - 12:00;1;32.39112, -113.14451
Sat, 07/17/2021 - 12:00;1;27.1793466, 56.2781423
Sun, 07/18/2021 - 12:00;1;28.14665169, -13.37244008
Sun, 07/18/2021 - 12:00;1;7.906213174, -72.49843797
Sun, 07/18/2021 - 12:00;1;32.1173598, -113.1905203
Sun, 07/18/2021 - 12:00;1;32.68717, -115.40261
Mon, 07/19/2021 - 12:00;1;11.3092574, 42.92740692
Mon, 07/19/2021 - 12:00;10;21.95157798, 6.763302221
Mon, 07/19/2021 - 12:00;1;27.65968155, 52.65745708
Mon, 07/19/2021 - 12:00;1;27.35022729, 62.35316592
Mon, 07/19/2021 - 12:00;1;29.63186286, 52.51236196
Mon, 07/19/2021 - 12:00;1;30.27629382, 57.0662465
Tue, 07/20/2021 - 12:00;1;31.94160047, -113.0617515
Tue, 07/20/2021 - 12:00;1;31.99301, -111.9799
Tue, 07/20/2021 - 12:00;1;27.673846, 54.312756
Tue, 07/20/2021 - 12:00;1;30.30573986, 56.00364259
Wed, 07/21/2021 - 12:00;18;33.51423538, 11.12653239
Wed, 07/21/2021 - 12:00;1;35.87601, -5.33416
Wed, 07/21/2021 - 12:00;1;31.88472913, 54.33057395
Thu, 07/22/2021 - 12:00;5;34.866318248, 27.1632598
Thu, 07/22/2021 - 12:00;3;34.866318248, 27.1632598
Thu, 07/22/2021 - 12:00;1;28.51079403, -99.91022804
Thu, 07/22/2021 - 12:00;1;16.54858089, -95.10283759
Thu, 07/22/2021 - 12:00;1;29.47645121, 60.86744515
Fri, 07/23/2021 - 12:00;1;44.356577, 16.376229
Fri, 07/23/2021 - 12:00;1;29.2631881, -99.84738576
Fri, 07/23/2021 - 12:00;1;35.87667, -5.33532
Fri, 07/23/2021 - 12:00;1;32.20058324, -110.9037255
Fri, 07/23/2021 - 12:00;1;32.88184699, 13.10811084
Fri, 07/23/2021 - 12:00;1;11.51977308, -72.8986871
Fri, 07/23/2021 - 12:00;1;31.684917, -111.9938
Sat, 07/24/2021 - 12:00;2;35.34293052, 11.34521001
Sat, 07/24/2021 - 12:00;1;35.90097, -5.29781
Sun, 07/25/2021 - 12:00;1;32.547702, -116.980396
Sun, 07/25/2021 - 12:00;2;27.36813494, -99.50095608
Sun, 07/25/2021 - 12:00;1;27.21161534, 60.68482798
Mon, 07/26/2021 - 12:00;53;32.66494504, 14.27642337
Mon, 07/26/2021 - 12:00;3;32.66494504, 14.27642337
Mon, 07/26/2021 - 12:00;1;32.66494504, 14.27642337
Mon, 07/26/2021 - 12:00;1;31.748986, -106.482543
Mon, 07/26/2021 - 12:00;1;31.781506, -106.527882
Mon, 07/26/2021 - 12:00;2;26.22189127, -98.45438095
Mon, 07/26/2021 - 12:00;1;27.49981976, -99.50114439
Mon, 07/26/2021 - 12:00;1;27.59081032, -101.3810119
Mon, 07/26/2021 - 12:00;1;31.757097, -111.969108
Tue, 07/27/2021 - 12:00;1;32.55042921, -116.9361241
Tue, 07/27/2021 - 12:00;1;31.77578307, -106.4644307
Tue, 07/27/2021 - 12:00;1;36.46086089, 0.602893465
Wed, 07/28/2021 - 12:00;3;35.23541224, 11.15850388
Wed, 07/28/2021 - 12:00;5;35.342159, 11.18454915
Wed, 07/28/2021 - 12:00;1;28.67780738, -100.5309605
Wed, 07/28/2021 - 12:00;12;18.72080052, -68.04710198
Wed, 07/28/2021 - 12:00;1;27.35022729, 62.35316592
Wed, 07/28/2021 - 12:00;1;28.91397523, 50.92710097
Thu, 07/29/2021 - 12:00;1;32.66494504, 14.27642337
Thu, 07/29/2021 - 12:00;1;32.25398987, 52.50577501
Thu, 07/29/2021 - 12:00;1;27.35022729, 62.35316592
Thu, 07/29/2021 - 12:00;1;27.35022729, 62.35316592
Thu, 07/29/2021 - 12:00;19;19.1374, 13.402547
Fri, 07/30/2021 - 12:00;3;38.72745572, 26.2952878
Fri, 07/30/2021 - 12:00;1;0.923706344, -77.72794854
Fri, 07/30/2021 - 12:00;1;32.506477, -111.581589
Fri, 07/30/2021 - 12:00;1;27.1793466, 56.2781423
Fri, 07/30/2021 - 12:00;1;19.1226, 12.011645
Sat, 07/31/2021 - 12:00;1;27.491216, -97.84983
Sat, 07/31/2021 - 12:00;1;33.01514348, 12.60631099
Sat, 07/31/2021 - 12:00;1;25.34821715, -102.8544973
Sat, 07/31/2021 - 12:00;1;28.91397523, 50.92710097
Sat, 07/31/2021 - 12:00;4;24.89027988, 23.04969825
Sun, 08/01/2021 - 12:00;1;32.468858, -114.579342
Sun, 08/01/2021 - 12:00;2;36.64611797, 2.208953218
Sun, 08/01/2021 - 12:00;1;14.865967, -92.310651
Mon, 08/02/2021 - 12:00;12;35.0280963, 11.00838643
Mon, 08/02/2021 - 12:00;1;28.50998, -100.32759
Mon, 08/02/2021 - 12:00;1;0.814798535, -77.66457573
Mon, 08/02/2021 - 12:00;1;24.93411036, 14.6332043
Tue, 08/03/2021 - 12:00;2;14.87556229, -92.30682011
Tue, 08/03/2021 - 12:00;1;32.34638968, -106.816155
Wed, 08/04/2021 - 12:00;4;41.27689, 26.67407
Wed, 08/04/2021 - 12:00;3;26.93791, -98.13787
Wed, 08/04/2021 - 12:00;1;26.93791, -98.13787
Wed, 08/04/2021 - 12:00;6;26.93791, -98.13787
Wed, 08/04/2021 - 12:00;1;27.00871835, -98.21819255
Wed, 08/04/2021 - 12:00;1;54.26406629, 25.35429945
Wed, 08/04/2021 - 12:00;1;31.96975, -111.37328
Thu, 08/05/2021 - 12:00;42;23.74187646, -15.93733694
Thu, 08/05/2021 - 12:00;1;16.24278829, -92.34873761
Fri, 08/06/2021 - 12:00;1;26.37642, -98.85824
Fri, 08/06/2021 - 12:00;7;31.09968359, 21.41265403
Fri, 08/06/2021 - 12:00;1;36.6019598, 2.159484877
Fri, 08/06/2021 - 12:00;1;31.784217, -111.6265
Sat, 08/07/2021 - 12:00;1;26.37605154, -98.82241169
Sat, 08/07/2021 - 12:00;8;32.85868201, 12.2449859
Sat, 08/07/2021 - 12:00;1;14.89881277, -92.26885475
Sat, 08/07/2021 - 12:00;1;31.65658, -111.838418
Sat, 08/07/2021 - 12:00;1;31.375806, -110.053722
Sat, 08/07/2021 - 12:00;1;32.657916, -111.408201
Sun, 08/08/2021 - 12:00;1;43.342171, -1.771777
Sun, 08/08/2021 - 12:00;2;14.90657249, -92.26359259
Sun, 08/08/2021 - 12:00;12;35.15349237, 11.05134475
Sun, 08/08/2021 - 12:00;1;35.04212355, 11.02420093
Sun, 08/08/2021 - 12:00;1;35.52488725, 11.04311776
Mon, 08/09/2021 - 12:00;3;32.64174, -111.38443
Mon, 08/09/2021 - 12:00;3;27.96042791, -13.01695937
Mon, 08/09/2021 - 12:00;15;27.96042791, -13.01695937
Mon, 08/09/2021 - 12:00;1;8.373099752, -77.78005398
Mon, 08/09/2021 - 12:00;1;7.403576138, -79.55944378
Mon, 08/09/2021 - 12:00;5;35.52488725, 11.04311776
Mon, 08/09/2021 - 12:00;3;35.08361366, 11.0237088
Mon, 08/09/2021 - 12:00;1;31.915917, -112.58185
Mon, 08/09/2021 - 12:00;1;32.140333, -113.2485
Mon, 08/09/2021 - 12:00;1;32.6755, -115.4651
Mon, 08/09/2021 - 12:00;1;32.755115, -115.218055
Tue, 08/10/2021 - 12:00;14;23.14306165, -18.1522512
Tue, 08/10/2021 - 12:00;1;31.9174752, -106.1672751
Tue, 08/10/2021 - 12:00;1;27.03442399, 14.42523921
Wed, 08/11/2021 - 12:00;6;33.7446278, 7.598138815
Wed, 08/11/2021 - 12:00;1;12.38754931, 43.34358371
Wed, 08/11/2021 - 12:00;1;26.46599024, -98.15655782
Wed, 08/11/2021 - 12:00;1;35.30057238, -2.94178006
Wed, 08/11/2021 - 12:00;1;32.259483, -113.245333
Wed, 08/11/2021 - 12:00;1;35.899317, -5.334479
Thu, 08/12/2021 - 12:00;13;22.51527112, -18.39395041
Thu, 08/12/2021 - 12:00;1;51.10719891, 2.006317652
Thu, 08/12/2021 - 12:00;1;28.2610827, -97.28283767
Thu, 08/12/2021 - 12:00;1;32.4109064, -106.8592632
Thu, 08/12/2021 - 12:00;1;36.61983828, 2.230056864
Thu, 08/12/2021 - 12:00;12;36.6131885, 2.189831228
Fri, 08/13/2021 - 12:00;3;35.96702242, 0.071543749
Fri, 08/13/2021 - 12:00;10;36.77001041, 3.469499215
Fri, 08/13/2021 - 12:00;2;35.23338838, 11.19573032
Fri, 08/13/2021 - 12:00;1;31.78041958, -106.5499374
Fri, 08/13/2021 - 12:00;5;31.72472612, -106.4826913
Fri, 08/13/2021 - 12:00;1;31.72472612, -106.4826913
